,lb,ub,PRISM_solar_litho flux,μₓ,PhotonOut flux,NDH-1(1)u flux,MEHLER flux,CEFQCycle flux,PSIIPlaq9h2 flux,ATPSh flux,FNORh flux,atp_h flux
89,890.0,890.0,890.0,0.038560620042751924,16.089420000000022,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
90,900.0,900.0,900.0,0.038560620042751924,16.270200000000067,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
91,910.0,910.0,910.0,0.038560620042751924,16.450979999999976,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
92,920.0,920.0,920.0,0.038560620042751924,16.631760000000025,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
93,930.0,930.0,930.0,0.038560620042751924,16.812540000000002,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
94,940.0,940.0,940.0,0.038560620042751924,16.993320000000047,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
95,950.0,950.0,950.0,0.038560620042751924,17.174100000000024,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
96,960.0,960.0,960.0,0.038560620042751924,17.35488,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
97,970.0,970.0,970.0,0.038560620042751924,17.535659999999982,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
98,980.0,980.0,980.0,0.038560620042751924,17.716440000000027,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
99,990.0,990.0,990.0,0.038560620042751924,17.897220000000004,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
100,1000.0,1000.0,1000.0,0.038560620042751924,18.078000000000053,0.0,0.0,0.0,30.0,12.857087266500404,30.0,67.91699042198422
